train_type,content,result
TRAIN,not needed,others
TRAIN,"Hi Good Afternoon ,Thank you.",thanks
TRAIN,I would like to attend the function,others
TRAIN,Join Bangalore's first luxury holiday membership,others
TRAIN,what the hell is this.,others
TRAIN,no actually,others
TRAIN,"Hi Good Morning Everyone , not happy with the service",others
TRAIN,many many thanks,thanks
TRAIN,"Hi Team , can you change my first and last name",others
TRAIN,you are not cool,others
TRAIN,"Hi Good Morning Everyone , Waiting for long time with no reply",thanks
TRAIN,"Hi All , I would like to apple",others
TRAIN,They knew exactly what he was. They gave him a gun.  PARENTS: Do you know what's really happening in your kid's school?,others
TRAIN,it's been so nice to talk to you,greeting
TRAIN,take care,goodbye
TRAIN,"Hi , I would like to get help on this",others
TRAIN,"great convenience, thank you!",thanks
TRAIN,how have you been,greeting
TRAIN,catch you tomorrow,goodbye
TRAIN,Bad Service and there is add on ,others
TRAIN,"Hey, Is there any agent with whom I can talk to",escalate
TRAIN,Adani Power's Tiroda plant gets MERC nod for higher coal price,others
TRAIN,I woule like to escalate further,escalate
TRAIN,talk to you later,goodbye
TRAIN,"Hi Team , can I change my address",others
TRAIN,thank you,thanks
TRAIN,I want to speak to you higher manager ,escalate
TRAIN,Morning to you,greeting
TRAIN,I would like to know. Thanks,others
TRAIN,Thanks for the help. Good Bye,goodbye
TRAIN,can I would with am you the could please yours,others
TRAIN,Alibaba chairman Jack Ma steps down,others
TRAIN,"Hi All , can",others
TRAIN,"Fine, and you?",thanks
TRAIN,"Hello Team , I want to open bank account",others
TRAIN,It's time to bid farewell,goodbye
TRAIN,"Hi Good Morning Everyone , Worst Service",others
TRAIN,"Hello , vast coverage of hockey, football, basketball, golf, cricket",others
TRAIN,this not good .sucks,others
TRAIN,it was very nice to meet you,greeting
TRAIN,"Tamil Nadu: 1,000 teachers to be schooled over sloppy scoring of papers",others
TRAIN,"Hi team , I would like to swim",others
TRAIN,you can add your favorite team's full schedule to your phone's calendar,others
TRAIN,you're terrible,others
TRAIN,"Gifts to PM to be auctioned online, proceeds to go",others
TRAIN,Hope you are doing well,greeting
TRAIN,it's nice to see you,greeting
TRAIN,no reponse !!!!,others
TRAIN,"Good Morning , It is pending from long time",escalate
TRAIN,WORST Service !!!!!!!!!!!!!!!!!!!!!!!,others
TRAIN,Everything Apple launched at the iPhone 11 launch event in 8 minutes,others
TRAIN,"Good Morning Team , How much time to wait ?",others
TRAIN,I will leave. bye,goodbye
TRAIN,"Hi , I need a one-one conversation with your higher management team",escalate
TRAIN,Economic slowdown one of biggest reasons for 2-wheeler sales slump: Honda,others
TRAIN,get lost,goodbye
TRAIN,you are very annoying,others
TRAIN,Worst experience  all time,others
TRAIN,"Hey guys , wishing you",greeting
TRAIN,well thanks,thanks
TRAIN,"Hi there , why do you take such long time ?",others
TRAIN,"Hi All , please ",others
TRAIN,"Hi Good Morning ,Thank you.",thanks
TRAIN,There are thousands of teams and over hundred of leagues,others
TRAIN,"Good Morning Everyone , escalate the issue further",escalate
TRAIN,Thanks so much for having this item!,thanks
TRAIN,"I was able to redirect to the correct team, Thank you",thanks
TRAIN,how is your morning going,greeting
TRAIN,very good thank you,thanks
TRAIN,goodbye for now,goodbye
TRAIN,U can send me a card,others
TRAIN,how your day is going,greeting
TRAIN,thanks so much,thanks
TRAIN,"Hi Good Afternoon ,Very bad service",others
TRAIN,you're no good,others
TRAIN,"Good Afternoon All , very bad work",others
TRAIN,fit for nothing really,others
TRAIN,"I am on hold forlong time , no response",others
TRAIN,you're too annoying,others
TRAIN,good thanks,thanks
TRAIN,"Hi team , NTA UGC-NET December 2019 application process begins @ntanet.nic.in",others
TRAIN,Hi please write us a private message. Thanks!,thanks
TRAIN,hello again,greeting
TRAIN,They knew exactly what he was. They gave him a gun.  PARENTS: Do you know what's really happening in your kid's school?],others
TRAIN,"Hi Team , can you please change the address in my bank profile information",others
TRAIN,I'm enraged,others
TRAIN,you're not helping me,others
TRAIN,It was all possible with your help. Thank you !,thanks
TRAIN,what is happening,greeting
TRAIN,"Thanks , I am all set",thanks
TRAIN,Thanking you anyways,thanks
TRAIN,definitely not,others
TRAIN,good morning too,greeting
TRAIN,Allow Me to Introduce Myself,greeting
TRAIN,bye bot,goodbye
TRAIN,sorry no,others
TRAIN,Thanks Foodie!,thanks
TRAIN,Thanks though.,thanks
TRAIN,Dearest,greeting
TRAIN,na,others
TRAIN,I'm furious,others
TRAIN,waiting and just waiting for a day with no response,others
TRAIN,"Hi , Have a great day",greeting
TRAIN,Thanks for all your help,thanks
TRAIN,very slow service,others
TRAIN,miss you,goodbye
TRAIN,good to know each other,greeting
TRAIN,I say no,others
TRAIN,I would like to pass on my thanks to Tracy at your Patchway Bristol branch who helped my son open his first bank,others
TRAIN,Not Much,others
TRAIN,how much time to wait,others
TRAIN,"hello team , Could you split",others
TRAIN,can u make my cheque clear quicker pls,others
TRAIN,"Good Morning, After getting Institute of Emminence tag, KIIT University to focus on research,",others
TRAIN,waiting for the email,others
TRAIN,you are hilarious,others
TRAIN,Focus on future missions: Sivan to scientists,others
TRAIN,well thank you,thanks
TRAIN,"Good Evening, time to bid adeu",goodbye
TRAIN,what's up theese days,greeting
TRAIN,bye,goodbye
TRAIN,"New York remembers 9/11 attacks, 18 years on",others
TRAIN,goodbye see you later,goodbye
TRAIN,"Hi Good Afternoon ,Untill we meet everyone. GoodBye",goodbye
TRAIN,"thx , thanks , Thanks , Tks , thnks , thnkyou , thanks , thank , thanksgiving , thanked , thanking , thankful , Thannnnk you , Thaank you , thanks to you",thanks
TRAIN,'World's earliest evidence of dairy consumption,others
TRAIN,Howdy,greeting
TRAIN,Off for now,goodbye
TRAIN,never expected,others
TRAIN,Good Evening. Have a great day ahead,greeting
TRAIN,what is going on,greeting
TRAIN,"Hi there , can you",others
TRAIN,"can you understand hindi , kannada",others
TRAIN,awesome product fast shipping thanks,thanks
TRAIN,I want to talk to customer service representative,escalate
TRAIN,farewell time,goodbye
TRAIN,Cheers mate,goodbye
TRAIN,a good morning,greeting
TRAIN,lovely day isn't it,greeting
TRAIN,how about no,others
TRAIN,Good Morning. Hope you are doing fine,greeting
TRAIN,"Hey , when can I speak to your delivery manager",escalate
TRAIN,Thanks for carrying these!,thanks
TRAIN,Bye Everyone,goodbye
TRAIN,I would like to exit,goodbye
TRAIN,thanks for your help,thanks
TRAIN,goodbye all,goodbye
TRAIN,"Morning , you can add your favorite team's full schedule to your phone's calendar",others
TRAIN,nice thank you,thanks
TRAIN,The trust is broken after the bad service,others
TRAIN,bye bye take care,goodbye
TRAIN,not right now thanks,others
TRAIN,"Hey , How are you doing today",greeting
TRAIN,we'll miss you,goodbye
TRAIN,"Good Afternoon , It is possible to sign in with your Facebook and Twitter accounts.",others
TRAIN,"Hi Good Morning , Apple Watch Series 5: First impressions",others
TRAIN,JEE Main 2020: NTA introduces new section for BPlanning aspirants,others
TRAIN,"Hi There , I am leaving. Bye",goodbye
TRAIN,I would love to talk to an agent,escalate
TRAIN,when can I start using my bank card for,others
TRAIN,"Hi Good Morning ,Waiting for long time with no reply",thanks
TRAIN,ED to quiz DKS daughter in alleged money-laundering cases,others
TRAIN,Hi I have received pin number but no card. Can u help x,others
TRAIN,when can you schedule a meeting with your manager ,escalate
TRAIN,What's up buddy?,greeting
TRAIN,no just no,others
TRAIN,"Hi All , can you please look into my bank profile",others
TRAIN,"Morning , Singapore universities cancel Hong Kong exchanges",others
TRAIN,hope you re having a pleasant evening,greeting
TRAIN,many thanks to all the resources,thanks
TRAIN,afternoon,greeting
TRAIN,you helped a lot thank you,thanks
TRAIN,"Chandrayaan-2: How response of opposition parties was different after surgical, Balakot strikes",others
TRAIN,Thanking you,thanks
TRAIN,Focus on future missions: Sivan tells scientists in internal address,others
TRAIN,Cheers!!,goodbye
TRAIN,great to see you again,greeting
TRAIN,how is your day being,greeting
TRAIN,Below is the additional data for escalation category,others
TRAIN,"Not much, how about you?",greeting
TRAIN,ONGC considers buying out rest of petrochemical project,others
TRAIN,can you help me connect to an agent,escalate
TRAIN,Thx all,thanks
TRAIN,thanks buddy,thanks
TRAIN,good bye,goodbye
TRAIN,"bye team , pleasure to work",goodbye
TRAIN,how nice it is to talk to you,greeting
TRAIN,Hope this email finds you well,greeting
TRAIN,then what's up,greeting
TRAIN,can you let me know .Thanks,others
TRAIN,I am mad,others
TRAIN,let 's not,others
TRAIN,great to see you too,greeting
TRAIN,"adieu , bye-bye , Godspeed , adios , cheerio , ciao , leave-taking , so long , toodle-oo",goodbye
TRAIN,nooo,others
TRAIN,transfer the call to service desk,escalate
TRAIN,"can you know , who won the xxxx",others
TRAIN,I greet you,greeting
TRAIN,Good Evening Team,greeting
TRAIN,"Hi there , meet you untill next time",goodbye
TRAIN,not satisified,others
TRAIN,"Due to bad service , would quit",goodbye
TRAIN,I said bye,goodbye
TRAIN,no incorrect,others
TRAIN,Thanks to him.,thanks
TRAIN,how is it,greeting
TRAIN,There is everything you need to enjoy your favorite sports:,others
TRAIN,'Too harsh': Mamata Banerjee says won't enforce hefty fines for traffic violations,others
TRAIN,"Telco war: After Jio, Airtel launches 1Gbps 'Xstream Fibre' with unlimited broadband at Rs 3,999",others
TRAIN,how do you feel,greeting
TRAIN,Thanks. :),thanks
TRAIN,Iniyan finishes 8th in Dubai Open,others
TRAIN,"Hi Team , Have a great day",greeting
TRAIN,Thanks. Kind regards Everyone,thanks
TRAIN,I find you annoying,others
TRAIN,thanks love,thanks
TRAIN,good bye team,goodbye
TRAIN,Totally fraud. no one will hear our problems,others
TRAIN,"Hi team , I would like to know more about your product",others
TRAIN,ETA is not provided at all,others
TRAIN,I am wishing you all the best for your future,greeting
TRAIN,Out of date  security is not good,others
TRAIN,"Good Morning, It was pleasure meeting you",goodbye
TRAIN,"Hi team , I would like to know the  score of india vs england match",others
TRAIN,Talking Point: Will an institutional fitness plan improve the academic,others
TRAIN,"Hey, It was pleasure meeting you",goodbye
TRAIN,What's up man?,greeting
TRAIN,"Hi team , could you please surprise",others
TRAIN,how are the things going,greeting
TRAIN,Thanks for shipping.,thanks
TRAIN,"Hi Good Morning Everyone , Thanks a lot for your help",thanks
TRAIN,"Sensex, Nifty end higher; auto stocks among top",others
TRAIN,good afternoon,greeting
TRAIN,"Good Morning , set up a meeting with your team lead",escalate
TRAIN,"Good Morning , I would like to cancel the movie",others
TRAIN,thnx,thanks
TRAIN,India’s wealthy get demonetised again,others
TRAIN,like to leave. goodbye,goodbye
TRAIN,Hi There. Thanks for the support,thanks
TRAIN,I am doing well,others
TRAIN,what was your day like,greeting
TRAIN,"Hi there , no ETA from past few days. fed up totally",others
TRAIN,pelasure meeting you,goodbye
TRAIN,"Hi Guys , why to continue here if the service is so bad",others
TRAIN,Can't wait!,others
TRAIN,Hong Kong stock exchange in talks to buy London,others
TRAIN,Having trouble getting into my acct from my phone. ,others
TRAIN,take care. bye,goodbye
TRAIN,"Good Afternoon , it's time to take your help on the issue",others
TRAIN,not really no,others
TRAIN,very bad. unable to use,others
TRAIN,"Hi All , could you please look into loan approval form which i submitted yesterday",others
TRAIN,can you redirect me to a human,escalate
TRAIN,"Hi All , would you like check the score",others
TRAIN,Can you please connect me to an agent,escalate
TRAIN,I would like to speak to an agent,escalate
TRAIN,"Hi All , I like to . Thanks",others
TRAIN,"Hi Mr , can you let me know the condition",others
TRAIN,useless service with bad attitude,others
TRAIN,"Good Afternon , I am waiting to speak to your manager",escalate
TRAIN,I would like to leave. Good bye,goodbye
TRAIN,bid adeu,goodbye
TRAIN,Worst Customer Service,others
TRAIN,"Good Morning All , OnePlus TV set to launch in India: Confirmed features, availability and more",others
TRAIN,alright bye,goodbye
TRAIN,"Hi Good Afternoon ,not happy with the service",others
TRAIN,no way,others
TRAIN,I said no,others
TRAIN,you are disgusting,others
TRAIN,"angry , mad , furious , enraged",others
TRAIN,useless ,others
TRAIN,"Hi Good Morning ,Take care",goodbye
TRAIN,Top of the morning to you as well,greeting
TRAIN,Happy Birthday,greeting
TRAIN,"Good Morning , Thank you for yesterday's work",thanks
TRAIN,Huawei P30 series to get EMUI 10 beta update,others
TRAIN,of course not,others
TRAIN,no reply  emails,others
TRAIN,"Good Morning Everyone , We ll catch some other time",goodbye
TRAIN,you are worthless,others
TRAIN,no it's not,others
TRAIN,Many thanks,thanks
TRAIN,"Evening , The app informs you who was injured during the season,",others
TRAIN,glad to see you,greeting
TRAIN,Hello Team,greeting
TRAIN,droping off,goodbye
TRAIN,see ya,goodbye
TRAIN,Could you please let me know the xxxx,others
TRAIN,"Hi team , good bye",goodbye
TRAIN,Not at all expexted,others
TRAIN,"Hi , is it possible to check",others
TRAIN,took long time to process,others
TRAIN,I thank you,thanks
TRAIN,"Hi Guys , generally will there be just no reply from anyone. this is insane",others
TRAIN,This is when Apple’s iPhone 11 models will launch in India,others
TRAIN,"Hi Good Morning ,not happy with the service",others
TRAIN,alright thank you,thanks
TRAIN,catch you some other time,goodbye
TRAIN,escalate further,escalate
TRAIN,It’s worthless and useless,others
TRAIN,till next time,goodbye
TRAIN,"Hi team, no reply from past 1 hour",others
TRAIN,team response?,others
TRAIN,I don't talk to bots.,escalate
TRAIN,"There , Scholarships to study abroad for poor SC students",others
TRAIN,thanks,thanks
TRAIN,"Hi Good Afternoon ,Take care",goodbye
TRAIN,exit,goodbye
TRAIN,"Good Morning , what happened in scheduling meeting with manager ?",escalate
TRAIN,absolutely no,others
TRAIN,GM,greeting
TRAIN,"Good Morning Everyone , can I speak to a human",escalate
TRAIN,what about your day,greeting
TRAIN,no,others
TRAIN,good for nothing. useless,others
TRAIN,"Chess: With black, Mrudul stuns seed No. 5; Divya, Srishti record wins in Rd 8",others
TRAIN,Thank you !,thanks
TRAIN,you are such annoying,others
TRAIN,greets,greeting
TRAIN,Worst service ever,others
TRAIN,"Hello , I need to speak to delivery manager now",escalate
TRAIN,no that's wrong,others
TRAIN,"hey all , please",others
TRAIN,it's time to say goodbye,goodbye
TRAIN,I said what's up,greeting
TRAIN,pleasure working with you all. Thank you,thanks
TRAIN,I don't want,others
TRAIN,pleasure meeting with you,goodbye
TRAIN,quit,goodbye
TRAIN,"Hi , can I talk to human",escalate
TRAIN,"Good Morning , It is pending from long time , when can I speak to your superviser",escalate
TRAIN,That's it,goodbye
TRAIN,MSN Sports developed by Microsoft Corporation is the perfect app for any sports fan. ,others
TRAIN,what the fuck. not at all improving,others
TRAIN,lovely to see you,greeting
TRAIN,are you having a good day,greeting
TRAIN,Tata Motors global sales down 32% in August,others
TRAIN,Thanks Team,thanks
TRAIN,"Hi team , Taiwan offers short-term agriculture internships to",others
TRAIN,"Cab firm, auto drivers face off on short rides in Bengaluru",others
TRAIN,I would like to ,others
TRAIN,"Hi Good Morning , Samsung launches Galaxy A50s and Galaxy A30s, price starts at Rs 16,999",others
TRAIN,"Hi , I want you to hel",others
TRAIN,"Hello There , I want to open account",others
TRAIN,happy holidays,greeting
TRAIN,Evening Everyone,greeting
TRAIN,Cara I am still waiting for the email,others
TRAIN,GM,greeting
TRAIN,"Hi Good Morning ,Very bad service",others
TRAIN,"Hi, I want to talk your superior",escalate
TRAIN,thanks for the response!,thanks
TRAIN,I hope you enjoyed your weekend,greeting
TRAIN,top of the morning to you,greeting
TRAIN,Good Evening Eveyone,greeting
TRAIN,The Times of India is an Indian English-language daily newspaper owned by The Times Group. It is the third-largest newspaper in India by circulation and largest selling English-language daily in the world according to Audit Bureau of Circulations.,others
TRAIN,"Hi team , no ETA is provided at all which is insane",others
TRAIN,Toddler among three found dead on railway track,others
TRAIN,"Good Morning , It is pending from long time",escalate
TRAIN,"Hi Good Morning , Oppo A9 (2020), A5 (2020) smartphones with four rear cameras launched in India",others
TRAIN,it is nice talking to you,greeting
TRAIN,I was kept on hold for 10 mins with no reply,others
TRAIN,not happy,others
TRAIN,quit the service,goodbye
TRAIN,"hi there , could you please send me the xx",others
TRAIN,Hi can you give me the adress of the bank,others
TRAIN,not really,others
TRAIN,"hey all , I will",others
TRAIN,Shocking ..bad service,others
TRAIN,Thanks for the best team!,thanks
TRAIN,not today,others
TRAIN,take care. bye ye,goodbye
TRAIN,"Good Morning , iPhone 11: First impressions",others
TRAIN,see you soon,goodbye
TRAIN,you are not good,others
TRAIN,"Good Morning , what happened in scheduling meeting with manager ?",escalate
TRAIN,I want to talk to a human agent,escalate
TRAIN,"Hi Everyone , could you help in setting up new account",others
TRAIN,Pathetic bot. Just redirects,others
TRAIN,waiting for long time ,others
TRAIN,sucks very badly,others
TRAIN,"Hi, I want to talk to an agent",escalate
TRAIN,"Good Morning , Scholarship Alert: Apply for STEM2D Scholars Award",others
TRAIN,"‘poker addict’ V-P was deep in debt, desperate: Police",others
TRAIN,ETA is asked long back,others
TRAIN,Thanks for the update,thanks
TRAIN,"Hi Guys , Punjab govt to help youth get jobs, study abroad",others
TRAIN,Good,thanks
TRAIN,"Hey , I need to speak to your manager",escalate
TRAIN,It is possible to sign in with your Facebook and Twitter accounts.,others
TRAIN,"Rajkot Foodgrain Prices- September 11, 2019",others
TRAIN,Porsche goes green with leather-free electric sports,others
TRAIN,"Hi , I want to cancel the flight",others
TRAIN,whatsapp guys,greeting
TRAIN,"Hi Good Morning ,Thanks a lot for your help",thanks
TRAIN,"Hi There , will you set up meeting with your director",escalate
TRAIN,you are lame,others
TRAIN,We are traveling to USA and would like to know the charges when paying with our Lloyds card.,others
TRAIN,how's it going,greeting
TRAIN,"vast coverage of hockey, football, basketball, golf, cricket",others
TRAIN,"Good Evening, time to bid adeu",goodbye
TRAIN,how's life,greeting
TRAIN,escalation is definetly required,escalate
TRAIN,"Hello , I want to cancel ASAP",others
TRAIN,"Hello All , Social media integration is excellent, everything is shareable. There are notifications for fire news",others
TRAIN,"Good Morning Everyone , can u make my cheque clear quicker pls",others
TRAIN,you are annoying me so much,others
TRAIN,"hi team , I need to officially start",others
TRAIN,hey dude,greeting
TRAIN,not happy at all,others
TRAIN,"Hello Team , any ETA atleast by thew end of the day",others
TRAIN,cleaned the environment,goodbye
TRAIN,"Hi Team , Thanks for helping us on time",thanks
TRAIN,pleased to meet you,greeting
TRAIN,apparently not,others
TRAIN,whazzup,greeting
TRAIN,Greetings !,greeting
TRAIN,Do you help me on the banking domain information,others
TRAIN,welcome to the team,greeting
TRAIN,bye-bye,goodbye
TRAIN,"Morning , Pick a team, player, league or sport and let the app load the articles in ""My Teams"" section.",others
TRAIN,how many times to follow up ?,others
TRAIN,"Hello Team , I would like to know the accuracy scores ",others
TRAIN,"Hi Team , my",others
TRAIN,hey .. long time no see,greeting
TRAIN,Its too complicated. I am unable to even login!,others
TRAIN,not at this time,others
TRAIN,it's very bad,others
TRAIN,resignation letter would be reached soon,goodbye
TRAIN,Bengaluru: Transport dept struggles with 49% staff shortage; touts have a field,others
TRAIN,"I will gladly respond , kind regards , thanks",thanks
TRAIN,"I am not sure, how much do I need to thank you",thanks
TRAIN,M.Tech. Data Science & Engg. for working professionals,others
TRAIN,Hello,greeting
TRAIN,Still waiting and waiting.,others
TRAIN,"Hi Team , I am waiting for a response from past 2 days. not happy at all",others
TRAIN,I want to talk to your manager,escalate
TRAIN,Off now,goodbye
TRAIN,it's good to see you too,greeting
TRAIN,cheers mate,goodbye
TRAIN,"Hello Team , I would like to know the confidence score",others
TRAIN,G'day All,greeting
TRAIN,actually no,others
TRAIN,"Hi , The app gives much information about the sporting world, including interviews and video",others
TRAIN,"Hey, can you cancel the cab",others
TRAIN,I would like to know the process to loan,others
TRAIN,Sensex rises 125 pts; Yes Bank soars 13 pc,others
TRAIN,"Good Morning All , I want to speak to your higher management team rightaway",escalate
TRAIN,pleasure to meet you too,greeting
TRAIN,nope,others
TRAIN,Fine ,thanks
TRAIN,resign from the process,goodbye
TRAIN,It's great to hear from you,greeting
TRAIN,bye for now,goodbye
TRAIN,That's it,goodbye
TRAIN,"goodbye , untill we meet again",goodbye
TRAIN,"Good Morning , could you please help in bringing laptop",others
TRAIN,Horrible customer service…,others
TRAIN,"he all , I need to",others
TRAIN,can you build chatbots,others
TRAIN,"Hi team , Indian girl talks about Hyperloop project in Russia",others
TRAIN,"Hi there , please help",others
TRAIN,quitting the process,goodbye
TRAIN,hold on,others
TRAIN,"Hi there , I want reply from a human",escalate
TRAIN,"The app informs you who was injured during the season,",others
TRAIN,Hi Good Evening. Thanks for all the help ,thanks
TRAIN,it's nice to talk to you,greeting
TRAIN,Hi Grasshopers team,greeting
TRAIN,"Hi There , price mark",others
TRAIN,how was your day,greeting
TRAIN,Favorite tea!  Thank you!,thanks
TRAIN,"Hello team , can you please tell me your personal phone number",others
TRAIN,Govt Official Received pension,others
TRAIN,I am not sure whether to trust with you going forward,others
TRAIN,all thank you,thanks
TRAIN,is that what you mean,others
TRAIN,"Hi There , will you set up meeting with your director",escalate
TRAIN,Good Morning All,greeting
TRAIN,what's up,greeting
TRAIN,it is a utility widely used to provision a PRPC system with specific jars and rulesets.,others
TRAIN,you're incredibly annoying,others
TRAIN,Very Very Very Very Best----Thanks Tikona,thanks
TRAIN,no thanks,others
TRAIN,"item as described, shipped on time - thanks!",thanks
